Ticker,Date,Time,PX_LAST,PX_HIGH,PX_LOW,PX_OPEN
VIX Index,2026-01-15,16:00,14.85,15.42,14.28,15.12
VIX Index,2026-01-16,16:00,15.22,15.88,14.75,14.85
VIX Index,2026-01-17,16:00,14.68,15.35,14.22,15.22
VIX Index,2026-01-20,16:00,15.45,16.12,14.98,14.68
VIX Index,2026-01-21,16:00,15.88,16.55,15.32,15.45
VIX Index,2026-01-22,16:00,15.35,16.02,14.85,15.88
VIX Index,2026-01-23,16:00,14.92,15.58,14.45,15.35
VIX Index,2026-01-24,16:00,15.18,15.85,14.72,14.92
VIX Index,2026-01-27,16:00,15.55,16.22,15.08,15.18
VIX Index,2026-01-28,16:00,15.92,16.58,15.45,15.55
VIX Index,2026-01-29,16:00,16.28,16.95,15.82,15.92
VIX Index,2026-01-30,16:00,15.78,16.45,15.32,16.28
VIX Index,2026-01-31,16:00,16.12,16.78,15.65,15.78
DXY Index,2026-01-15,17:00,103.45,103.82,103.12,103.58
DXY Index,2026-01-16,17:00,103.72,104.08,103.38,103.45
DXY Index,2026-01-17,17:00,103.38,103.75,103.05,103.72
DXY Index,2026-01-20,17:00,103.15,103.52,102.82,103.38
DXY Index,2026-01-21,17:00,103.28,103.65,102.95,103.15
DXY Index,2026-01-22,17:00,103.55,103.92,103.22,103.28
DXY Index,2026-01-23,17:00,103.82,104.18,103.48,103.55
DXY Index,2026-01-24,17:00,103.58,103.95,103.25,103.82
DXY Index,2026-01-27,17:00,103.32,103.68,102.98,103.58
DXY Index,2026-01-28,17:00,103.08,103.45,102.75,103.32
DXY Index,2026-01-29,17:00,102.85,103.22,102.52,103.08
DXY Index,2026-01-30,17:00,103.12,103.48,102.78,102.85
DXY Index,2026-01-31,17:00,102.92,103.28,102.58,103.12
